Date,Close,24h Open (USD),24h High (USD),24h Low (USD)
11/3/2014,331.60083,325.22633,333.75983,319.0435
11/4/2014,324.71833,331.60083,332.75133,323.06333
11/5/2014,332.45666,324.71833,335.81166,320.93333
11/6/2014,336.585,332.45666,341.49,328.56166
11/7/2014,346.775,336.585,351.575,336.02833
11/8/2014,344.81166,346.775,351.295,339.86
11/9/2014,343.065,344.81166,345.625,340.63
11/10/2014,358.50166,343.065,363.85333,342.325
11/11/2014,368.07666,358.50166,374.71166,357.98
11/12/2014,376.99666,368.07666,380.52,360.49166
11/13/2014,442.10666,376.99666,442.37166,376.98666
11/14/2014,389.00333,442.10666,458.05166,385.675
11/15/2014,394.92666,389.00333,412.20666,381.855
11/16/2014,377.08,394.92666,397.02666,368.45
11/17/2014,400.47166,377.08,404.445,376.615
11/18/2014,384.93,400.47166,410.17,375.47833
11/19/2014,375.83333,384.93,389.35999,369.515
11/20/2014,376.16,375.83333,385.06,371.71833
11/21/2014,348.565,376.16,377.63,347.51333
11/22/2014,352.42,348.565,355.835,341.93
11/23/2014,356.8,352.42,363.70166,351.06833
11/24/2014,367.83,356.8,371.24166,353.475
11/25/2014,381.20666,367.83,388.67666,364.89
11/26/2014,375.498,381.20666,393.06333,369.851
11/27/2014,372.819,375.498,377.667,365.265
11/28/2014,368.983,372.819,373.272,367.401
11/29/2014,375.44,368.983,381.554,358.018
11/30/2014,376.851,375.44,385.537,372.332
12/1/2014,376.13218,376.851,381.582,374.492
12/2/2014,377.862,376.13218,382.602,376.082
12/3/2014,382.452,377.862,383.719,377.85311
12/4/2014,376.382,382.452,383.008,373.9132
12/5/2014,368.3618,376.382,378.106,365.543
12/6/2014,373.414,368.3618,378.235,367.6398
12/7/2014,373.744,373.414,375.501,370.93
12/8/2014,373.155,373.744,375.849,373.059
12/9/2014,357.884,373.155,373.7,356.069
12/10/2014,348.898,357.884,358.097,344.198
12/11/2014,341.041,348.898,351.242,337.632
12/12/2014,348.272,341.041,361.003,340.081
12/13/2014,346.742,348.272,353.846,345.851
12/14/2014,347.348,346.742,348.36,345.363
12/15/2014,348.674,347.348,353.14099,346.519
12/16/2014,338.547,348.674,349.745,337.79
12/17/2014,330.536,338.547,339.901,323.77499
12/18/2014,317.405,330.536,331.281,314.438
12/19/2014,306.45999,317.405,317.405,304.225
12/20/2014,319.196,306.45999,320.19099,306.45999
12/21/2014,321.89299,319.196,330.77,319.196
12/22/2014,320.03499,321.89299,324.993,317.58299
12/23/2014,328.701,320.03499,332.466,318.975
12/24/2014,332.053,328.701,335.903,328.053
12/25/2014,321.386,332.053,332.821,317.734
12/26/2014,318.563,321.386,321.685,316.13
12/27/2014,320.868,318.563,330.467,318.494
12/28/2014,316.009,320.868,321.556,312.007
12/29/2014,315.64,316.009,319.63099,310.541
12/30/2014,313.994,315.64,317.552,311.705
12/31/2014,309.903,313.994,314.467,308.812
1/1/2015,317.204,309.903,319.559,309.661
1/2/2015,314.49899,317.204,317.31599,312.567
1/3/2015,311.14099,314.49899,315.56599,310.156
1/4/2015,277.853,311.14099,312.288,275.952
1/5/2015,270.813,277.853,286.243,257.022
1/6/2015,272.0175,270.813,277.97199,265.24
1/7/2015,283.84125,272.0175,286.95999,271.67874
1/8/2015,290.485,283.84125,300.24124,283.68
1/9/2015,281.03625,290.485,291.40499,280.365
1/10/2015,286.688,281.03625,291.2475,280.92375
1/11/2015,277.64999,286.688,287.87,272.82399
1/12/2015,268.10199,277.64999,277.64999,263.834
1/13/2015,243.081,268.10199,271.774,243.081
1/14/2015,219.128,243.081,249.04299,216.356
1/15/2015,193.3511,219.128,219.973,170.084
1/16/2015,220.5745,193.3511,229.3059,192.0803
1/17/2015,209.1655,220.5745,222.0138,199.1781
1/18/2015,195.59467,209.1655,209.3242,194.9578
1/19/2015,212.2711,195.59467,218.9848,194.5501
1/20/2015,211.5401,212.2711,216.6805,206.6594
1/21/2015,212.28249,211.5401,214.66619,204.8001
1/22/2015,230.6754,212.28249,236.83589,210.8765
1/23/2015,226.30419,230.6754,236.34609,224.3954
1/24/2015,231.4242,226.30419,235.02849,224.9847
1/25/2015,251.606,231.4242,254.98829,231.4242
1/26/2015,283.59769,251.606,290.8877,243.305
1/27/2015,258.5374,283.59769,307.9664,254.225
1/28/2015,257.447,258.5374,268.022,250.9381
1/29/2015,235.948,257.447,262.7574,225.266
1/30/2015,233.141,235.948,237.463,220.1002
1/31/2015,226.94116,233.141,242.724,225.08875
2/1/2015,216.66066,226.94116,233.52791,215.00708
2/2/2015,229.80441,216.66066,231.91775,211.53066
2/3/2015,237.65175,229.80441,242.31883,222.218
2/4/2015,225.83858,237.65175,246.1851,224.10733
2/5/2015,226.554,225.83858,230.02183,220.71741
2/6/2015,219.75625,226.554,227.40666,214.65725
2/7/2015,225.46666,219.75625,226.18658,216.36516
2/8/2015,225.73291,225.46666,230.15883,222.82991
2/9/2015,222.78408,225.73291,229.33333,219.96391
2/10/2015,220.16725,222.78408,223.94616,217.08533
2/11/2015,223.00366,220.16725,223.5535,215.45466
2/12/2015,218.72833,223.00366,223.00924,218.27583
2/13/2015,223.96716,218.72833,224.00924,217.61941
2/14/2015,237.65716,223.96716,240.23908,223.13041
2/15/2015,256.21758,237.65716,261.66275,237.26424
2/16/2015,230.1355,256.21758,267.34908,226.90608
2/17/2015,235.71275,230.1355,239.58716,229.83233
2/18/2015,242.93183,235.71275,246.13708,234.99991
2/19/2015,237.1035,242.93183,243.79491,231.74658
2/20/2015,241.07183,237.1035,243.11,235.63558
2/21/2015,245.70566,241.07183,247.13699,241.07183
2/22/2015,245.145,245.70566,246.45508,243.00916
2/23/2015,235.14141,245.145,245.70399,233.06841
2/24/2015,238.93183,235.14141,239.62416,231.77475
2/25/2015,238.15225,238.93183,239.36141,235.74258
2/26/2015,235.67716,238.15225,238.56583,233.85925
2/27/2015,251.28908,235.67716,251.28908,234.44633
2/28/2015,251.03416,251.28908,257.50475,246.14616
3/1/2015,251.9314,251.03416,254.18825,250.58558
3/2/2015,258.8485,251.9314,260.63639,244.9732
3/3/2015,270.7625,258.8485,272.46819,257.5751
3/4/2015,278.1172,270.7625,286.282,267.03699
3/5/2015,269.2606,278.1172,283.3832,266.469
3/6/2015,274.8977,269.2606,280.3962,263.627
3/7/2015,270.86109,274.8977,275.54309,269.3872
3/8/2015,276.72789,270.86109,277.7033,270.86109
3/9/2015,277.98519,276.72789,278.5315,271.9756
3/10/2015,294.1886,277.98519,296.4732,276.89909
3/11/2015,289.7149,294.1886,300.34,288.5597
3/12/2015,292.8678,289.7149,296.744,288.8829
3/13/2015,293.224,292.8678,296.73899,291.8317
3/14/2015,282.644,293.224,293.9851,281.02229
3/15/2015,283.0809,282.644,286.19169,280.2655
3/16/2015,290.61579,283.0809,291.1669,282.4696
3/17/2015,290.542,290.61579,293.9259,288.934
3/18/2015,283.7507,290.542,291.754,282.6035
3/19/2015,252.44789,283.7507,284.4759,246.7832
3/20/2015,263.4741,252.44789,264.23519,250.6699
