Arrival.Date,Departure.Date,Room.Type,Accommodation.Type,Best.Available.Rate,Step.Into.Summer.1.Night,Advance.Purchase.Promotion,get_date,Departure.Date_Weekday,Arrival.Date.Weekday,get_date.Weekday,nDays_rates
6/18/2017,6/19/2017,DELUXE,"1 King Bed, Deluxe Room",229,206.1,317.7,6/18/2017,Mon,Sun,Sun,0
6/18/2017,6/19/2017,DELUXE,"1 Queen Bed, Deluxe Room",229,206.1,311.1,6/18/2017,Mon,Sun,Sun,0
6/18/2017,6/19/2017,DELUXE,"2 Full Size Beds, Deluxe Room",229,206.1,322,6/18/2017,Mon,Sun,Sun,0
6/18/2017,6/19/2017,EXECUTIVE ROOM,"1 King Bed, Executive Room",259,233.1,344.7,6/18/2017,Mon,Sun,Sun,0
6/18/2017,6/19/2017,EXECUTIVE ROOM,"2 Full Size Beds, Executive Room",279,251.1,365.5,6/18/2017,Mon,Sun,Sun,0
6/18/2017,6/19/2017,FREEDOM TRAIL FAMILY SUITE,"1 King & Bunk Beds, Freedom Trail Suite",359,323.1,438.5,6/18/2017,Mon,Sun,Sun,0
6/18/2017,6/19/2017,PREMIER SUITE,"1 King Bed, Premier Suite",329,296.1,394.5,6/18/2017,Mon,Sun,Sun,0
6/18/2017,6/19/2017,TRADITIONAL,"1 Full Size Bed, Traditional Room",229,206.1,316.1,6/18/2017,Mon,Sun,Sun,0
6/19/2017,6/20/2017,DELUXE,"1 Queen Bed, Deluxe Room",359,323.1,311.1,6/18/2017,Tue,Mon,Sun,1
6/19/2017,6/20/2017,DELUXE,"2 Full Size Beds, Deluxe Room",359,323.1,322,6/18/2017,Tue,Mon,Sun,1
6/19/2017,6/20/2017,EXECUTIVE ROOM,"1 King Bed, Executive Room",389,350.1,344.7,6/18/2017,Tue,Mon,Sun,1
6/19/2017,6/20/2017,EXECUTIVE ROOM,"2 Full Size Beds, Executive Room",409,368.1,365.5,6/18/2017,Tue,Mon,Sun,1
6/19/2017,6/20/2017,PREMIER SUITE,"1 King Bed, Premier Suite",459,413.1,394.5,6/18/2017,Tue,Mon,Sun,1
6/19/2017,6/20/2017,TRADITIONAL,"1 Full Size Bed, Traditional Room",359,323.1,316.1,6/18/2017,Tue,Mon,Sun,1
6/20/2017,6/21/2017,EXECUTIVE ROOM,"1 King Bed, Executive Room",429,329.3,344.7,6/18/2017,Wed,Tue,Sun,2
6/20/2017,6/21/2017,EXECUTIVE ROOM,"2 Full Size Beds, Executive Room",449,347.5,365.5,6/18/2017,Wed,Tue,Sun,2
6/20/2017,6/21/2017,PREMIER SUITE,"1 King Bed, Premier Suite",499,378.5,394.5,6/18/2017,Wed,Tue,Sun,2
