AdjSalePrice,SqFtLot,SqFtTotLiving,Bathrooms,Bedrooms,BldgGrade,YrBuilt,YrRenovated,TrafficNoise,LandVal,ImpsVal,ZipCode,NewConstruction
300805,9373,2400,3,6,7,1991,0,0,70000,229000,98002,FALSE
1076162,20156,3764,3.75,4,10,2005,0,0,203000,590000,98166,TRUE
761805,26036,2060,1.75,4,8,1947,0,0,183000,275000,98166,FALSE
442065,8618,3200,3.75,5,7,1966,0,0,104000,229000,98168,FALSE
297065,8620,1720,1.75,4,7,1948,0,0,104000,205000,98168,FALSE
411781,1012,930,1.5,2,8,2008,0,0,170000,207000,98144,TRUE
380785,34465,1750,1.5,3,8,1961,0,0,165000,227000,98178,FALSE
349489,14659,1860,1.75,4,7,1963,0,0,115000,154000,98178,FALSE
231239,5324,990,1,2,6,1930,0,3,90000,75000,98032,FALSE
463148,10585,1980,2,4,6,1924,0,0,124000,116000,98055,FALSE
160236,12750,840,1,2,6,1925,0,0,133000,73000,98055,FALSE
372178,5200,1750,1,3,7,1958,0,1,100000,172000,98118,FALSE
315175,5240,790,1,2,6,1925,0,1,100000,152000,98118,FALSE
327739,5240,790,1,2,6,1925,0,1,100000,152000,98118,FALSE
634754,7320,2120,2.75,3,8,1901,0,0,261000,422000,98122,FALSE
432352,3485,2620,1.5,4,7,1920,0,0,235000,373000,98122,FALSE
505014,5253,1500,1.75,3,6,1919,0,0,333000,117000,98115,FALSE
502857,4600,2070,2.25,3,7,1909,0,0,212000,366000,98116,FALSE
332255,27229,3020,3,3,6,2000,0,0,142000,189000,98001,FALSE
419369,24034,2370,2,4,8,1960,0,0,139000,200000,98001,FALSE
538921,3296,1530,2.5,3,8,1998,0,0,269000,209000,98007,FALSE
518725,3696,1530,2.5,3,8,1998,0,0,269000,216000,98007,FALSE
802796,13349,2780,2.5,3,10,1990,0,1,255000,480000,98052,FALSE
694292,8186,2420,2.5,3,10,1992,0,0,269000,432000,98052,FALSE
671246,9093,2280,2.5,4,10,1990,0,1,255000,416000,98052,FALSE
641815,9093,2280,2.5,4,10,1990,0,1,255000,416000,98052,FALSE
936052,8750,3130,2.5,3,10,1991,0,0,269000,514000,98052,FALSE
768075,9055,3060,3.25,3,10,1994,0,0,281000,511000,98052,FALSE
853936,10223,3190,3.5,3,10,1994,0,0,269000,529000,98052,FALSE
842280,13412,3130,2.75,4,9,1993,0,0,281000,433000,98052,FALSE
639944,9021,2660,2.5,3,9,1992,0,0,269000,394000,98052,FALSE
735333,9948,2230,2.75,3,9,1993,0,0,269000,347000,98052,FALSE
603442,9594,2341,2.5,4,9,1997,0,0,269000,347000,98052,FALSE
771088,9185,3540,3.75,4,9,1996,0,0,269000,483000,98052,FALSE
708571,9001,2470,2.5,3,9,1995,0,0,269000,382000,98052,FALSE
744245,9012,2810,2.5,4,9,1996,0,0,269000,429000,98052,FALSE
755027,9100,2590,2.5,4,9,1996,0,0,269000,402000,98052,FALSE
